Date,Time,Ping (ms),Download (Mbit/s),Upload (Mbit/s)
05/12/18,14:47,47.832,2.75,0.73,0
05/12/18,14:47,47.832,2.75,0.73,0
05/12/18,14:47,47.832,2.75,0.73,0
05/12/18,14:47,47.832,2.75,0.73,0
05/12/18,14:47,47.832,2.75,0.73,0
05/12/18,14:47,47.832,2.75,0.73,0
05/12/18,14:48,47.832,2.75,0.73,0
05/12/18,14:48,47.832,2.75,0.73,0
05/12/18,14:48,47.832,2.75,0.73,0
05/12/18,14:48,47.832,2.75,0.73,0
05/12/18,14:48,47.832,2.75,0.73,0
05/12/18,14:48,47.832,2.75,0.73,0
05/12/18,14:48,47.832,2.75,0.73,0
05/12/18,14:48,47.832,2.75,0.73,0
05/12/18,14:53,47.832,2.75,0.73,0
05/12/18,14:53,47.832,2.75,0.73,0
05/12/18,15:01,53.678,2.64,0.76,0
05/12/18,15:25,53.339,2.65,0.75,0
05/12/18,15:26,47.131,2.66,0.79,0
05/12/18,15:49,47.449,2.66,0.76,0
05/12/18,15:50,46.284,2.64,0.78,0
05/12/18,15:58,54.65,2.65,0.75,0
05/12/18,16:01,48.358,2.62,0.76,0
05/12/18,16:04,48.553,2.48,0.50,0
05/12/18,16:13,45.818,2.60,0.76,0
05/12/18,16:15,48.001,2.64,0.77,0
05/12/18,16:15,45.79,2.64,0.76,0
05/12/18,16:16,47.053,2.27,0.76,0
05/12/18,16:25,46.589,2.65,0.76,0
05/12/18,16:29,54.614,2.65,0.77,0
05/12/18,16:30,46.379,2.26,0.58,0
05/12/18,16:40,48.719,2.66,0.77,0
05/12/18,16:50,46.212,2.65,0.76,0
05/12/18,17:00,54.524,2.19,0.76,0
05/12/18,17:10,46.635,2.64,0.76,0
05/12/18,17:20,46.9,2.64,0.76,0
05/12/18,17:30,55.784,2.65,0.74,0
05/12/18,17:40,47.777,2.65,0.74,0
05/12/18,17:50,46.921,2.64,0.75,0
05/12/18,18:00,69.794,2.04,0.78,0
05/12/18,18:10,46.064,2.66,0.78,0
05/12/18,18:20,46.192,2.69,0.78,0
05/12/18,18:30,46.44,2.63,0.77,0
05/12/18,18:40,49.262,0.60,0.76,0
05/12/18,18:50,48.919,0.51,0.76,0
05/12/18,19:00,87.721,0.48,0.78,0
05/12/18,19:30,91.619,0.60,0.69,0
05/12/18,20:00,91.923,0.52,0.75,0
05/12/18,20:30,88.871,0.49,0.78,0
05/12/18,21:00,38.921,2.75,1.08,0
05/12/18,21:30,47.044,2.25,1.06,0
05/12/18,22:00,44.939,2.22,1.08,0
05/12/18,22:30,46.411,2.12,1.06,0
05/12/18,23:00,83.984,2.50,1.14,0
05/12/18,23:30,39.35,2.51,1.08,0
05/13/18,00:00,75.701,2.43,1.06,0
05/13/18,00:30,45.104,2.51,1.07,0
05/13/18,01:00,84.475,2.49,1.05,0
05/13/18,01:30,39.127,2.54,1.06,0
05/13/18,02:00,58.41,2.11,1.08,0
05/13/18,02:30,40.307,2.54,1.10,0
05/13/18,03:00,80.809,2.53,1.12,0
05/13/18,03:30,40.66,2.54,1.11,0
05/13/18,04:00,39.82,2.17,1.10,0
05/13/18,04:30,43.264,2.48,1.07,0
05/13/18,05:00,83.779,2.51,1.13,0
05/13/18,05:30,39.565,2.54,1.07,0
05/13/18,06:00,80.655,2.41,1.06,0
05/13/18,06:30,39.144,2.54,1.08,0
05/13/18,07:00,48.19,2.40,1.06,0
05/13/18,07:30,58.215,2.53,1.05,0
05/13/18,08:00,45.95,1.86,1.08,0
05/13/18,08:30,48.596,0.39,1.06,0
05/13/18,09:00,247.061,1.83,0.97,0
05/13/18,09:30,225.104,1.77,1.01,0
05/13/18,10:00,238.375,1.31,0.99,0
05/13/18,10:30,41.197,2.47,1.08,0
05/17/18,18:22,56.529,2.81,0.78,0
05/17/18,18:30,46.467,2.75,0.78,0
05/17/18,19:00,165.239,2.25,0.72,0
05/17/18,19:30,45.878,2.77,0.79,0
05/17/18,20:00,67.43,1.56,0.69,0
05/17/18,20:30,47.146,2.79,0.75,0
05/17/18,21:00,61.163,2.46,0.79,0
05/17/18,21:30,190.792,2.20,0.77,0
05/17/18,21:59,45.94,2.77,0.78,69.3
05/17/18,22:00,94.578,2.74,0.80,68.8
05/17/18,22:06,46.251,2.78,0.80,69.8
05/17/18,22:30,55.792,2.44,0.77,68.8
05/17/18,23:00,87.655,2.66,0.83,68.8
05/17/18,23:30,53.376,2.76,0.81,69.8
05/18/18,00:00,92.17,2.74,0.87,69.3
05/18/18,00:30,45.572,2.79,0.76,68.8
05/18/18,01:00,46.201,2.36,0.79,69.8
05/18/18,01:30,54.148,2.81,0.78,68.8
05/18/18,02:00,88.694,2.79,0.85,69.3
05/18/18,02:30,83.11,2.72,0.78,69.3
05/18/18,03:00,46.295,1.86,0.73,69.3
05/18/18,03:30,45.878,2.78,0.79,69.8
05/18/18,04:00,84.785,2.73,0.83,69.8
05/18/18,04:30,45.966,2.68,0.78,69.8
05/18/18,05:00,92.038,2.78,0.76,69.8
05/18/18,05:30,46.036,2.74,0.77,69.8
05/18/18,06:00,87.587,2.41,0.77,69.8
05/18/18,06:30,45.945,2.77,0.77,69.3
05/18/18,07:00,93.873,2.32,0.79,68.8
05/18/18,07:30,52.745,2.71,0.80,69.3
05/18/18,08:00,127.326,2.42,0.74,69.8
05/18/18,08:30,46.299,2.79,0.78,70.9
05/18/18,09:00,84.413,2.67,0.79,69.8
05/18/18,09:30,124.528,0.70,0.83,68.8
05/18/18,10:00,91.805,0.73,0.78,70.9
05/18/18,10:30,90.517,0.68,0.78,69.3
05/18/18,11:00,90.586,0.73,0.79,70.4
05/18/18,11:30,46.336,2.78,0.77,69.8
05/18/18,12:00,91.689,2.73,0.76,69.8
05/18/18,12:30,45.858,2.81,0.76,70.4
05/18/18,13:00,52.644,1.89,0.80,69.3
05/18/18,13:30,52.392,2.80,0.78,68.8
05/18/18,14:00,85.233,2.11,0.80,70.9
05/18/18,14:30,45.56,2.77,0.77,70.4
05/18/18,15:00,82.641,2.32,0.80,70.9
05/18/18,15:30,88.774,2.52,0.77,68.8
05/18/18,16:00,84.856,2.76,0.87,69.8
05/18/18,16:30,46.726,2.76,0.80,70.4
05/18/18,17:00,64.071,2.38,0.79,70.9
05/18/18,17:30,55.782,2.56,0.79,69.8
05/18/18,18:00,46.307,2.08,0.77,69.3
05/18/18,18:30,47.288,2.32,0.79,69.8
05/18/18,19:00,111.513,2.69,0.80,69.8
05/18/18,19:30,45.712,2.81,0.81,69.3
05/18/18,20:00,116.653,2.66,0.81,69.8
05/18/18,20:30,114.215,2.49,0.71,69.8
05/18/18,21:00,63.394,2.03,0.77,70.4
05/18/18,21:30,52.284,2.75,0.79,69.8
05/18/18,22:00,53.693,1.89,0.79,69.8
05/18/18,22:30,53.405,2.62,0.77,69.8
05/18/18,23:00,85.808,2.52,0.77,70.4
05/18/18,23:30,160.036,2.72,0.75,69.8
05/19/18,00:00,66.206,2.38,0.73,70.4
05/19/18,00:30,90.505,2.74,0.77,68.8
05/19/18,01:00,88.777,2.72,0.79,69.8
05/19/18,01:30,45.222,2.79,0.76,70.4
05/19/18,02:00,95.796,2.50,0.80,69.3
05/19/18,02:30,55.768,2.74,0.78,69.8
05/19/18,03:00,87.502,2.71,0.77,69.8
05/19/18,03:30,46.024,2.76,0.76,70.9
05/19/18,04:00,90.908,2.66,0.79,69.3
05/19/18,04:30,45.288,2.81,0.78,69.8
05/19/18,05:00,112.594,2.74,0.79,69.3
05/19/18,05:30,84.647,2.74,0.79,70.9
05/19/18,06:00,95.067,2.66,0.82,70.9
05/19/18,06:30,46.024,2.78,0.78,70.9
05/19/18,07:00,88.476,2.72,0.84,69.3
05/19/18,07:30,46.259,2.76,0.78,69.8
05/19/18,08:00,91.579,2.73,0.78,69.8
05/19/18,08:30,46.299,2.78,0.79,69.8
05/19/18,09:00,92.202,2.69,0.79,69.3
05/19/18,09:30,53.305,2.76,0.79,70.9
05/19/18,10:00,88.742,2.72,0.78,70.4
05/19/18,10:30,67.194,2.35,0.80,70.9
05/19/18,11:00,85.053,2.75,0.79,69.3
05/19/18,11:30,45.187,2.72,0.77,70.4
05/19/18,12:00,87.257,2.75,0.71,69.3
05/19/18,12:30,53.426,2.45,0.80,69.8
05/19/18,13:00,94.255,2.43,0.79,70.4
05/19/18,13:30,55.305,2.10,0.78,69.8
05/19/18,14:00,92.387,2.61,0.85,70.4
05/19/18,14:30,52.435,2.62,0.76,70.4
05/19/18,15:00,90.482,2.63,0.75,69.8
05/19/18,15:30,45.968,2.61,0.75,69.3
05/19/18,16:00,53.45,2.21,0.77,70.9
05/19/18,16:30,54.843,2.61,0.76,70.9
05/19/18,17:00,87.076,2.64,0.85,69.3
05/19/18,17:30,46.33,2.53,0.80,69.8
05/19/18,18:00,107.237,2.56,0.81,69.3
05/19/18,18:30,53.534,2.65,0.78,69.3
05/19/18,19:00,88.336,2.51,0.77,69.3
05/19/18,19:30,47.964,2.59,0.81,69.8
05/19/18,20:00,88.553,2.59,0.79,69.3
05/19/18,20:30,46.914,2.23,0.81,70.9
05/19/18,21:00,87.612,2.66,0.77,69.8
05/19/18,21:30,53.228,2.65,0.70,70.4
05/19/18,22:00,217.262,2.39,0.77,69.8
05/19/18,22:30,45.885,2.44,0.78,70.4
05/19/18,23:00,47.134,1.62,0.79,70.4
05/19/18,23:30,47.21,2.32,0.76,70.4
05/20/18,00:00,91.493,2.57,0.84,69.8
05/20/18,00:30,53.613,2.85,0.79,69.8
05/20/18,01:00,92.7,2.76,0.80,69.8
05/20/18,01:30,46.806,2.88,0.78,70.9
05/20/18,02:00,56.207,2.43,0.79,69.8
05/20/18,02:30,66.563,2.49,0.78,69.8
05/20/18,03:00,84.745,2.84,0.86,69.8
05/20/18,03:30,45.332,2.85,0.70,68.8
05/20/18,04:00,132.224,2.84,0.80,69.8
05/20/18,04:30,48.435,2.86,0.80,69.3
05/20/18,05:00,87.537,2.83,0.81,69.8
05/20/18,05:30,48.378,2.84,0.80,69.8
05/20/18,06:00,91.486,2.85,0.78,69.8
05/20/18,06:30,48.268,2.84,0.79,69.8
05/20/18,07:00,87.909,2.89,0.75,69.8
05/20/18,07:30,53.666,2.86,0.79,70.9
05/20/18,08:00,71.303,2.50,0.80,68.8
05/20/18,08:30,45.506,2.77,0.80,69.8
05/20/18,09:00,93.251,0.72,0.83,70.4
05/20/18,09:30,81.443,0.77,0.78,69.8
05/20/18,10:00,109.061,2.79,0.80,69.8
05/20/18,10:30,52.716,2.81,0.80,70.4
05/20/18,11:00,85.308,2.69,0.80,69.8
05/20/18,11:30,39.165,2.76,1.06,69.8
05/20/18,12:00,41.938,2.76,1.09,69.3
05/20/18,12:30,44.83,2.71,1.06,69.8
05/20/18,13:00,77.923,2.72,1.13,70.4
05/20/18,13:30,44.972,2.76,1.08,69.8
05/20/18,14:00,82.681,2.71,1.07,68.8
05/20/18,14:30,39.147,2.73,1.07,70.4
05/20/18,15:00,39.429,1.77,1.05,70.9
05/20/18,15:30,79.552,2.70,1.13,69.8
05/20/18,16:00,84.74,2.66,1.09,69.8
05/20/18,16:30,39.928,2.79,1.08,69.8
05/20/18,17:00,75.868,2.40,1.08,70.4
05/20/18,17:30,45.156,2.76,1.05,69.8
05/20/18,18:00,79.794,2.75,1.14,70.4
05/20/18,18:30,39.262,2.76,1.09,70.4
05/20/18,19:00,78.754,2.78,1.08,70.9
05/20/18,19:30,45.376,2.77,1.09,69.8
05/20/18,20:00,77.727,0.66,1.08,70.9
05/20/18,20:30,79.376,0.64,1.03,69.3
05/20/18,21:00,107.487,0.60,1.07,69.8
05/20/18,21:30,40.691,2.11,1.08,70.4
05/20/18,22:00,39.024,1.63,1.05,70.4
05/20/18,22:30,42.623,2.17,0.99,69.8
05/20/18,23:00,74.648,2.28,0.97,69.3
05/20/18,23:30,85.583,2.27,1.05,70.4
05/21/18,00:00,40.309,2.55,1.10,70.4
05/21/18,00:30,46.685,2.84,0.74,69.8
05/21/18,01:00,104.327,2.82,0.83,69.8
05/21/18,01:30,52.476,2.56,0.76,69.3
05/21/18,02:00,113.11,2.78,0.81,69.8
05/21/18,02:30,49.402,2.90,0.74,70.4
05/21/18,03:00,92.972,2.83,0.79,69.3
05/21/18,03:30,45.902,2.85,0.76,70.4
05/21/18,04:00,59.029,2.40,0.77,69.3
05/21/18,04:30,67.766,2.53,0.68,70.9
05/21/18,05:00,95.269,2.77,0.82,69.8
05/21/18,05:30,45.851,2.90,0.77,69.8
05/21/18,06:00,105.092,2.78,0.76,70.4
05/21/18,06:30,46.749,2.88,0.77,69.8
05/21/18,07:00,112.966,2.75,0.73,68.8
05/21/18,07:30,55.116,2.88,0.76,69.3
05/21/18,08:00,142.966,2.77,0.72,69.8
05/21/18,08:30,102.134,0.81,0.77,69.3
05/21/18,09:00,86.763,0.82,0.64,68.8
05/21/18,09:31,567.398,0.14,0.64,69.8
05/21/18,10:00,101.839,0.77,0.79,68.8
05/21/18,10:30,86.97,0.76,0.79,68.8
05/21/18,11:00,87.405,0.76,0.78,69.3
05/21/18,11:30,46.687,2.88,0.75,69.3
05/21/18,12:00,55.534,2.59,0.76,69.3
05/21/18,12:30,84.955,0.74,0.77,70.4
05/21/18,13:00,93.446,0.74,0.74,69.8
05/21/18,13:30,88.882,0.75,0.75,69.8
05/21/18,14:00,89.264,0.71,0.76,69.8
05/21/18,14:30,85.866,2.84,0.76,69.8
05/21/18,15:00,53.7,2.72,0.79,70.9
05/21/18,15:30,54.151,2.87,0.76,69.8
05/21/18,16:00,145.393,2.80,0.75,69.8
05/21/18,16:30,46.013,2.70,1.06,70.4
05/21/18,17:30,46.098,2.78,1.09,70.4
05/21/18,18:00,84.376,2.77,1.13,69.8
05/21/18,18:30,85.976,2.72,1.09,68.8
05/21/18,19:00,87.114,2.72,1.07,69.8
05/21/18,19:30,42.012,2.78,1.09,70.4
05/21/18,20:00,140.766,2.67,1.09,48.3
05/21/18,20:11,39.405,1.20,0.98,49.4
05/21/18,20:30,39.404,2.58,1.08,55.8
05/21/18,21:00,55.35,1.92,0.96,56.9
05/21/18,21:30,45.262,2.22,1.08,56.9
05/21/18,22:00,78.835,2.24,0.94,56.9
05/21/18,22:30,203.474,2.10,1.02,56.9
05/21/18,23:00,82.623,2.23,1.02,57.5
05/21/18,23:30,39.134,2.44,1.09,55.8
05/22/18,00:00,52.321,1.85,0.79,55.3
05/22/18,00:30,54.402,2.76,0.77,55.8
05/22/18,01:00,94.752,2.65,0.84,55.3
05/22/18,01:30,46.255,2.80,0.78,55.3
05/22/18,02:00,106.481,2.71,0.81,55.8
05/22/18,02:30,98.076,2.68,0.79,54.2
05/22/18,03:00,94.439,2.69,0.77,54.8
05/22/18,03:30,46.361,2.78,0.79,55.8
05/22/18,04:00,160.832,1.09,0.73,55.3
05/22/18,04:30,46.187,2.78,0.79,54.8
05/22/18,05:00,53.566,2.40,0.75,54.8
05/22/18,05:30,52.43,2.68,0.78,54.8
05/22/18,06:00,68.964,2.33,0.77,54.8
05/22/18,06:30,46.362,2.79,0.79,53.7
05/22/18,07:00,91.129,2.69,0.82,56.4
05/22/18,07:30,46.301,2.80,0.76,54.2
05/22/18,08:00,85.032,2.76,0.79,55.3
05/22/18,08:30,45.768,2.81,0.79,55.8
05/22/18,09:00,62.092,2.44,0.79,54.2
05/22/18,09:30,75.017,0.66,0.77,54.2
05/22/18,10:00,96.469,0.72,0.80,54.8
05/22/18,10:30,86.3,0.69,0.77,55.8
05/22/18,11:00,95.409,0.71,0.80,55.3
05/22/18,11:30,53.957,2.76,0.77,55.8
05/22/18,12:00,69.382,2.41,0.78,56.4
05/22/18,12:30,46.189,2.77,0.80,54.8
05/22/18,13:00,85.401,2.76,0.66,55.8
05/22/18,13:30,53.965,2.63,0.79,56.4
05/22/18,14:00,54.562,2.56,0.79,55.3
05/22/18,14:30,98.253,2.73,0.80,55.3
05/22/18,15:00,112.694,2.68,0.51,55.8
05/22/18,15:30,46.408,2.77,0.81,55.8
05/22/18,16:00,53.44,2.06,0.80,55.8
05/22/18,16:30,54.202,2.75,0.78,56.4
05/22/18,17:00,87.744,2.74,0.85,56.9
05/22/18,17:30,46.0,2.75,0.79,55.3
05/22/18,18:00,88.613,2.69,0.77,56.4
05/22/18,18:30,46.222,2.82,0.79,56.9
05/22/18,19:00,77.31,2.29,0.76,56.4
05/22/18,19:30,91.358,0.72,0.71,56.9
05/22/18,20:00,86.846,0.74,0.77,56.4
05/22/18,20:30,53.084,2.79,0.76,57.5
05/22/18,21:00,99.007,2.05,0.77,55.8
05/22/18,21:31,772.486,0.20,0.64,55.8
05/22/18,22:00,94.836,2.66,0.78,55.8
05/22/18,22:30,53.104,2.60,0.78,56.9
05/22/18,23:00,95.167,2.68,0.77,56.4
05/22/18,23:30,87.497,2.47,0.80,56.4
05/23/18,00:00,96.71,2.64,0.84,55.3
05/23/18,00:30,46.406,2.43,0.77,56.4
05/23/18,01:00,102.538,2.73,0.79,56.4
05/23/18,01:30,119.801,2.66,0.75,55.8
05/23/18,02:00,59.397,2.05,0.78,54.8
05/23/18,02:30,58.619,2.76,0.77,56.4
05/23/18,03:00,91.188,2.75,0.85,55.8
05/23/18,03:30,118.149,2.72,0.79,55.8
05/23/18,04:00,93.867,2.75,0.77,54.8
05/23/18,04:30,49.414,2.80,0.79,54.8
05/23/18,05:00,121.619,2.73,0.81,55.8
05/23/18,05:30,117.773,2.81,0.74,54.8
05/23/18,06:30,95.693,2.70,0.82,55.8
05/23/18,07:00,50.624,2.44,0.76,55.8
05/23/18,07:30,51.466,2.84,0.77,54.8
05/23/18,08:00,86.155,2.46,0.77,55.3
05/23/18,08:30,49.616,2.83,0.80,55.8
05/23/18,09:00,93.618,2.83,0.81,54.8
05/23/18,09:30,114.85,0.64,1.09,55.8
05/23/18,10:00,83.855,0.72,1.03,53.7
05/23/18,10:30,82.075,0.67,1.06,55.8
05/23/18,11:00,77.364,0.70,1.06,55.8
05/23/18,11:30,38.81,2.77,1.10,55.8
05/23/18,12:00,39.174,2.77,1.07,55.8
