Date,Time,Ping (ms),Download (Mbit/s),Upload (Mbit/s)
05/30/18,21:00,87.922,2.50,1.08,57.5
05/30/18,21:31,760.907,0.27,0.88,56.4
05/30/18,22:00,79.037,0.60,1.03,57.5
05/30/18,22:30,83.62,0.59,1.07,56.9
05/30/18,23:00,45.838,2.43,1.06,56.4
05/30/18,23:30,45.729,2.74,1.05,58.0
05/31/18,00:00,94.628,2.74,1.08,55.8
05/31/18,00:30,38.944,2.44,1.04,56.9
05/31/18,01:00,77.382,2.74,1.14,55.8
05/31/18,01:30,80.852,2.70,1.06,57.5
05/31/18,02:00,45.008,1.67,1.07,56.9
05/31/18,02:30,47.313,2.76,1.05,55.8
05/31/18,03:00,97.245,2.75,0.81,55.8
05/31/18,03:30,39.401,2.72,1.06,56.4
05/31/18,04:00,85.132,2.73,1.07,56.9
05/31/18,04:30,39.334,2.77,1.03,56.9
05/31/18,05:00,79.136,2.74,1.07,56.4
05/31/18,05:30,46.305,2.76,1.04,56.9
05/31/18,06:00,81.456,2.74,1.08,56.4
05/31/18,06:30,39.023,2.74,1.08,56.4
05/31/18,07:00,48.621,2.35,1.04,56.4
05/31/18,07:30,46.088,2.34,1.04,55.8
05/31/18,08:00,147.821,2.31,0.98,55.8
05/31/18,08:30,46.026,2.76,1.05,55.8
05/31/18,09:00,54.025,2.42,1.09,55.8
05/31/18,09:31,605.465,0.28,0.89,56.9
05/31/18,10:01,725.032,0.22,0.82,56.4
05/31/18,10:31,522.666,0.32,0.94,56.9
05/31/18,11:01,679.505,0.34,0.74,56.9
05/31/18,11:30,187.619,1.82,0.96,56.4
05/31/18,12:00,74.729,2.67,1.02,56.4
05/31/18,12:30,75.075,2.73,1.06,56.4
05/31/18,13:00,83.94,2.68,1.07,58.0
05/31/18,13:30,39.143,2.77,1.04,57.5
05/31/18,14:00,247.383,2.09,0.97,56.9
05/31/18,14:30,46.097,2.77,1.08,56.9
05/31/18,15:00,74.759,2.68,1.02,56.9
05/31/18,15:30,114.437,2.68,1.09,58.0
05/31/18,16:00,90.504,2.20,1.01,57.5
05/31/18,16:30,45.529,2.69,1.09,58.0
05/31/18,17:00,45.168,1.37,1.04,58.0
05/31/18,17:30,46.264,2.77,1.06,58.0
05/31/18,18:00,45.054,2.65,1.06,58.5
05/31/18,18:30,75.814,2.47,1.12,57.5
05/31/18,19:00,114.83,2.71,1.12,58.5
05/31/18,19:30,39.275,2.77,1.06,56.9
05/31/18,20:00,81.357,0.71,1.14,58.5
05/31/18,20:30,85.875,2.44,0.83,59.1
05/31/18,21:00,88.225,2.58,1.01,58.5
05/31/18,21:30,45.404,2.64,1.05,58.0
05/31/18,22:00,47.769,1.61,1.07,58.5
05/31/18,22:30,39.243,2.58,1.04,58.0
05/31/18,23:00,47.699,1.97,1.07,58.0
05/31/18,23:30,44.104,2.73,1.08,59.1
06/01/18,00:00,128.302,2.78,0.79,59.1
06/01/18,00:30,48.593,2.78,0.78,58.0
06/01/18,01:00,55.356,2.85,0.79,56.9
06/01/18,01:30,46.526,2.78,0.74,58.0
06/01/18,02:00,52.472,2.82,0.76,58.0
06/01/18,02:30,48.309,2.79,0.65,56.9
06/01/18,03:00,56.057,2.80,0.71,58.0
06/01/18,03:30,45.627,2.86,0.75,56.9
06/01/18,04:00,54.055,2.82,0.76,55.8
06/01/18,04:30,55.538,2.79,0.74,58.0
06/01/18,05:00,47.22,2.83,0.76,56.9
06/01/18,05:30,58.48,2.83,0.74,56.9
06/01/18,06:00,64.957,2.78,0.66,58.0
06/01/18,06:30,56.167,2.81,0.66,58.0
06/01/18,07:00,63.155,2.83,0.78,56.9
06/01/18,07:30,57.722,2.85,0.76,58.0
06/01/18,08:00,46.479,2.67,0.75,56.9
06/01/18,08:30,53.183,2.77,0.75,58.0
06/01/18,09:00,46.776,2.84,0.71,56.4
06/01/18,09:30,47.039,0.72,0.75,56.9
06/01/18,10:00,47.699,0.75,0.76,58.0
06/01/18,10:30,48.591,0.70,1.06,58.0
06/01/18,11:00,49.222,0.69,1.08,56.9
06/01/18,11:30,41.099,2.77,1.08,56.9
06/01/18,12:00,46.115,2.82,1.07,57.5
06/01/18,12:30,44.882,2.75,1.07,57.5
06/01/18,13:00,47.878,2.79,1.06,58.0
06/01/18,13:30,41.183,2.73,1.07,59.1
06/01/18,14:00,42.161,2.73,1.05,58.0
06/01/18,14:30,48.509,2.77,1.08,58.5
06/01/18,15:00,46.736,2.77,1.07,59.1
06/01/18,15:30,46.617,2.78,1.07,59.1
06/01/18,16:00,46.143,2.69,1.09,58.0
06/01/18,16:30,60.097,2.77,1.10,58.0
06/01/18,17:00,42.313,2.77,1.07,58.5
06/01/18,17:30,52.749,2.70,1.05,59.6
06/01/18,18:00,46.318,2.75,1.02,56.9
06/01/18,18:30,43.744,2.60,1.09,58.5
06/01/18,19:00,41.015,2.58,1.09,58.0
06/01/18,19:30,78.844,2.55,1.10,59.1
06/01/18,20:00,46.606,2.57,1.08,60.1
06/01/18,20:30,46.193,2.59,1.07,59.6
06/01/18,21:00,40.602,2.60,1.09,59.1
06/01/18,21:30,277.503,1.22,0.99,56.9
06/01/18,22:00,279.356,1.74,0.93,58.0
06/01/18,22:30,244.895,2.02,0.93,58.0
06/01/18,23:00,61.212,1.78,0.94,59.1
06/01/18,23:30,73.099,1.89,0.99,58.0
06/02/18,00:00,115.77,2.02,0.99,57.5
06/02/18,00:30,46.134,2.40,1.09,58.0
06/02/18,01:00,55.137,2.86,0.73,58.5
06/02/18,01:30,47.395,2.84,0.70,58.5
06/02/18,02:00,67.3,2.82,0.73,58.0
06/02/18,02:30,39.698,2.75,1.07,58.0
06/02/18,03:00,47.934,2.73,1.04,59.1
06/02/18,03:30,40.752,2.73,1.06,59.1
06/02/18,04:00,47.577,2.75,0.89,60.1
06/02/18,04:30,67.813,2.85,0.42,58.0
06/02/18,05:00,46.001,2.82,0.71,58.0
06/02/18,05:30,47.264,2.79,0.77,58.0
06/02/18,06:00,67.67,2.78,0.76,59.1
06/02/18,06:30,54.457,2.84,0.76,59.1
06/02/18,07:00,46.124,2.82,0.79,56.9
06/02/18,07:30,68.134,2.82,0.79,58.0
06/02/18,08:00,94.15,2.16,0.73,56.9
06/02/18,08:30,56.187,2.82,0.80,57.5
06/02/18,09:00,60.694,0.81,0.78,54.8
06/02/18,09:30,203.647,0.66,0.64,58.0
06/02/18,10:00,180.932,2.39,0.67,59.6
06/02/18,10:30,56.148,2.84,0.79,56.9
06/02/18,11:00,59.248,2.84,0.79,58.0
06/02/18,11:30,55.83,2.85,0.79,56.9
06/02/18,12:00,54.434,2.81,0.79,58.0
06/02/18,12:30,53.29,2.85,0.76,56.9
06/02/18,13:00,56.186,2.83,0.76,58.5
06/02/18,13:30,57.039,2.47,0.74,58.0
06/02/18,14:00,67.701,2.37,0.79,58.0
06/02/18,14:30,47.099,2.47,0.80,58.0
06/02/18,15:00,41.944,2.76,1.03,59.1
06/02/18,15:30,47.525,2.79,1.07,59.1
06/02/18,16:00,47.483,2.79,1.07,60.1
06/02/18,16:30,46.599,2.79,0.90,58.0
06/02/18,17:00,46.345,2.79,1.08,58.5
06/02/18,17:30,48.863,2.77,1.08,58.5
06/02/18,19:30,47.879,0.67,1.07,55.3
06/02/18,20:00,53.424,2.76,1.07,55.8
06/02/18,20:30,47.754,2.80,1.06,56.4
06/02/18,21:00,47.082,2.78,1.06,55.8
06/02/18,21:30,46.747,2.75,1.04,56.9
06/02/18,22:00,46.203,2.68,1.03,58.0
06/02/18,22:30,39.584,2.71,1.07,58.0
06/02/18,23:00,39.511,2.77,1.04,57.5
06/02/18,23:30,48.383,2.75,1.08,56.9
06/03/18,00:00,45.837,2.75,1.07,57.5
06/03/18,00:30,46.289,2.78,1.06,56.9
06/03/18,01:00,47.309,2.78,0.89,56.4
06/03/18,01:30,58.592,2.78,1.10,55.3
06/03/18,02:00,39.436,2.75,1.09,55.8
06/03/18,02:30,46.134,2.78,1.08,56.4
06/03/18,03:00,40.568,2.81,1.09,56.4
06/03/18,03:30,51.281,2.78,1.09,55.8
06/03/18,04:00,41.04,2.79,1.08,56.4
06/03/18,04:30,49.424,2.78,1.08,55.8
06/03/18,05:30,53.632,2.85,0.62,54.8
06/03/18,06:00,64.502,2.83,0.75,55.8
06/03/18,06:30,45.231,2.84,0.75,56.9
06/03/18,07:00,45.018,2.65,0.75,56.4
06/03/18,07:30,45.315,2.84,0.74,55.8
06/03/18,08:00,40.339,2.78,0.64,56.9
06/03/18,08:30,46.539,2.77,1.08,56.9
06/03/18,09:00,46.894,2.40,1.03,56.9
06/03/18,09:30,47.376,2.64,1.06,56.9
06/03/18,10:00,47.355,2.76,1.08,58.0
06/03/18,10:30,47.944,2.59,1.06,47.2
06/03/18,11:00,40.77,2.76,1.00,56.9
06/03/18,11:30,39.664,1.82,0.88,58.0
06/03/18,12:00,47.562,2.74,1.05,58.0
06/03/18,12:30,48.006,2.80,1.08,56.9
06/03/18,13:00,47.918,2.76,1.08,59.1
06/03/18,13:30,48.898,2.75,1.09,59.1
06/03/18,14:00,48.866,2.79,1.07,59.6
06/03/18,14:30,49.053,2.73,1.04,59.1
06/03/18,15:00,46.008,2.78,1.04,60.1
06/03/18,15:30,47.973,2.74,1.06,60.1
06/03/18,16:00,60.013,2.44,1.09,58.5
06/03/18,16:30,39.575,2.20,1.04,59.1
06/03/18,17:00,40.987,2.37,1.01,58.0
06/03/18,17:30,46.734,2.53,1.06,58.0
06/03/18,18:00,47.399,2.58,1.05,60.1
06/03/18,18:30,55.01,2.63,1.08,59.6
06/03/18,19:00,49.177,0.54,1.04,59.1
06/03/18,19:30,40.916,2.58,1.04,60.1
06/03/18,20:00,40.295,2.63,1.09,60.7
06/03/18,20:30,47.058,2.60,1.08,60.7
06/03/18,21:00,48.085,0.66,1.08,60.1
06/03/18,21:30,52.423,0.62,1.06,61.8
06/03/18,22:00,47.652,2.54,1.07,61.2
06/03/18,22:30,42.065,2.56,1.06,60.1
06/03/18,23:00,50.744,2.50,1.03,60.7
06/03/18,23:30,58.871,2.87,0.76,59.6
06/04/18,00:00,54.706,2.83,0.79,60.1
06/04/18,00:30,46.753,2.78,0.72,60.1
06/04/18,01:00,46.907,2.84,0.76,60.1
06/04/18,01:30,49.101,2.83,0.79,59.6
06/04/18,02:00,46.354,2.83,0.76,60.7
06/04/18,02:30,48.706,2.81,0.76,61.2
06/04/18,03:00,57.055,2.81,0.79,60.7
06/04/18,03:30,47.353,2.80,0.78,60.1
06/04/18,04:00,47.503,2.84,0.76,60.1
06/04/18,04:30,47.476,2.83,0.79,58.0
06/04/18,05:00,46.642,2.85,0.78,58.5
06/04/18,05:30,46.673,2.83,0.80,58.0
06/04/18,06:00,65.302,2.81,0.79,59.6
06/04/18,06:30,46.802,2.85,0.77,60.1
06/04/18,07:00,46.684,2.71,0.77,59.1
06/04/18,07:30,47.019,2.84,0.78,58.0
06/04/18,08:00,46.681,2.84,0.78,58.5
06/04/18,08:30,49.148,2.86,0.78,59.1
06/04/18,09:00,57.978,2.82,0.78,58.5
06/04/18,09:30,56.597,0.76,0.59,59.1
06/04/18,10:00,56.606,0.75,0.79,58.0
06/04/18,10:30,49.251,0.76,0.77,58.0
06/04/18,11:00,47.323,0.80,0.77,59.6
06/04/18,11:30,47.679,2.84,0.79,59.6
06/04/18,12:00,57.251,2.83,0.78,59.1
06/04/18,12:30,67.201,2.75,0.78,59.6
06/04/18,13:00,54.082,2.86,0.77,59.1
06/04/18,13:30,55.613,2.81,0.80,59.1
06/04/18,14:00,54.308,2.84,0.78,60.1
06/04/18,14:30,46.712,2.78,0.79,60.1
06/04/18,15:00,46.796,2.83,0.77,60.7
06/04/18,15:30,47.729,2.87,0.77,60.7
06/04/18,16:00,47.774,2.78,0.79,60.1
06/04/18,16:30,54.87,2.85,0.79,60.1
06/04/18,17:00,56.166,2.83,0.76,60.7
06/04/18,17:30,47.282,2.81,0.73,60.1
06/04/18,18:00,46.61,2.83,0.75,59.6
06/04/18,18:30,47.281,2.80,0.79,60.1
06/04/18,19:00,46.583,2.84,0.78,60.1
06/04/18,19:30,54.644,2.83,0.78,60.1
06/04/18,20:00,54.399,2.82,0.72,60.7
06/04/18,20:30,47.816,2.86,0.77,59.1
06/04/18,21:00,40.815,0.66,1.10,60.1
06/04/18,21:30,49.759,0.64,1.08,59.6
06/04/18,22:00,48.85,0.50,0.90,60.1
06/04/18,22:30,49.651,0.65,1.07,60.1
06/04/18,23:00,48.949,0.64,1.06,59.6
06/04/18,23:30,41.654,0.61,1.06,59.1
06/05/18,00:00,59.69,2.72,1.08,59.1
06/05/18,00:30,47.19,2.82,1.06,60.7
06/05/18,01:00,46.606,2.77,1.06,60.1
06/05/18,01:30,47.771,2.75,1.09,60.1
06/05/18,02:00,47.821,2.74,1.09,59.6
06/05/18,02:30,41.227,2.70,0.73,60.7
06/05/18,03:00,40.429,2.71,1.04,60.1
06/05/18,03:30,45.857,2.75,1.08,59.6
06/05/18,04:00,47.662,2.75,1.08,58.5
06/05/18,04:30,40.337,2.54,1.06,60.1
06/05/18,05:00,49.352,2.76,1.07,60.1
06/05/18,05:30,43.151,2.74,1.04,60.7
06/05/18,06:00,81.37,2.71,1.07,60.1
06/05/18,06:30,47.315,2.79,1.06,60.7
06/05/18,07:00,45.762,2.72,1.08,58.5
06/05/18,07:30,47.251,2.76,1.08,59.6
06/05/18,08:00,47.126,2.75,1.06,59.1
06/05/18,08:30,41.778,2.73,1.05,60.1
06/05/18,09:00,40.428,2.77,1.07,59.1
06/05/18,09:30,42.143,0.68,1.07,58.5
06/05/18,10:00,41.059,0.69,1.08,60.1
06/05/18,10:30,47.984,0.68,1.07,60.7
06/05/18,11:00,47.616,0.70,1.09,59.6
06/05/18,11:30,48.709,2.76,1.07,59.1
06/05/18,12:00,46.714,2.75,1.07,59.1
06/05/18,12:30,43.148,2.77,1.09,59.6
06/05/18,13:00,47.625,2.76,1.08,59.6
06/05/18,13:30,47.629,2.76,1.08,59.6
06/05/18,14:00,48.173,2.75,1.07,60.1
06/05/18,14:30,47.681,2.76,1.07,60.1
06/05/18,15:00,48.28,2.56,1.05,60.7
06/05/18,15:30,41.214,2.79,1.08,60.1
06/05/18,16:00,47.319,2.72,0.83,60.1
06/05/18,16:30,40.823,2.77,1.01,59.1
06/05/18,17:00,40.531,2.75,1.07,59.1
06/05/18,17:30,41.052,2.78,1.06,59.6
06/05/18,18:00,40.064,2.75,1.07,60.1
06/05/18,18:30,41.325,2.67,1.05,59.1
06/05/18,19:00,46.718,2.75,1.06,58.0
06/05/18,19:30,46.729,2.74,1.08,58.5
06/05/18,20:00,46.782,2.77,1.10,59.1
06/05/18,20:30,48.809,0.68,1.10,60.1
06/05/18,21:00,45.177,2.75,1.07,59.6
06/05/18,21:30,49.001,0.59,1.06,58.0
06/05/18,22:00,40.766,2.68,1.07,58.5
06/05/18,22:30,41.797,2.76,1.06,58.0
06/05/18,23:00,41.395,2.75,1.08,59.1
06/05/18,23:30,41.75,2.79,1.05,60.1
06/06/18,00:00,48.405,2.78,1.02,59.6
06/06/18,00:30,48.006,2.80,1.07,60.1
06/06/18,01:00,46.481,2.80,1.08,59.1
06/06/18,01:30,42.004,2.78,1.06,60.1
06/06/18,02:00,41.225,2.76,1.08,60.7
06/06/18,02:30,40.111,2.79,1.09,59.1
06/06/18,03:00,48.553,2.78,1.09,59.1
06/06/18,03:30,41.054,2.76,1.08,60.1
06/06/18,04:00,40.079,2.68,1.07,60.1
06/06/18,04:30,40.315,2.79,1.08,59.6
06/06/18,05:00,40.043,2.77,1.08,59.1
06/06/18,05:30,41.218,2.73,1.07,60.1
06/06/18,06:00,45.046,2.71,0.95,60.1
06/06/18,06:30,47.216,2.78,1.05,58.5
06/06/18,07:00,47.302,2.77,1.09,58.5
06/06/18,07:30,41.716,2.74,1.06,58.0
06/06/18,08:00,45.541,2.78,1.10,59.1
06/06/18,08:30,47.357,2.75,1.10,58.0
06/06/18,09:00,46.604,2.76,1.07,58.5
06/06/18,09:30,41.983,0.70,1.05,58.5
06/06/18,10:00,40.314,0.70,1.06,60.1
06/06/18,10:30,48.758,0.70,1.05,58.0
06/06/18,11:00,46.814,0.71,1.10,58.5
06/06/18,11:30,48.388,2.78,1.07,58.0
06/06/18,12:00,45.12,2.77,1.08,59.1
06/06/18,12:30,46.21,2.76,1.07,59.6
06/06/18,13:00,46.324,2.63,1.08,59.1
06/06/18,13:30,42.413,2.78,1.09,60.1
06/06/18,14:00,46.272,2.77,1.08,58.5
06/06/18,14:30,42.121,2.77,1.07,59.6
06/06/18,15:00,40.976,2.78,1.04,59.1
06/06/18,15:30,40.832,2.78,1.08,60.1
06/06/18,16:00,45.74,2.79,1.09,59.1
06/06/18,16:30,48.277,2.76,1.09,59.1
06/06/18,17:00,47.745,2.77,1.04,59.6
06/06/18,17:30,49.341,2.74,1.07,59.6
06/06/18,18:00,46.24,2.76,1.07,58.0
06/06/18,18:30,45.815,2.74,1.07,60.7
06/06/18,19:00,48.744,0.72,1.06,60.7
06/06/18,19:30,51.209,0.63,0.99,60.1
06/06/18,20:00,65.927,0.62,1.07,59.1
06/06/18,20:30,49.872,0.62,1.08,59.1
06/06/18,21:00,57.595,2.33,1.06,60.1
06/06/18,21:30,40.962,2.29,1.08,59.1
06/06/18,22:00,40.969,2.26,1.08,60.7
06/06/18,22:30,48.629,2.31,1.06,59.1
06/06/18,23:00,47.332,2.53,1.08,59.1
06/06/18,23:30,54.319,2.83,0.73,60.7
06/07/18,00:00,54.265,2.80,0.75,58.5
06/07/18,00:30,48.554,2.82,0.77,59.1
06/07/18,01:00,47.54,2.83,0.79,60.1
06/07/18,01:30,47.329,2.83,0.75,59.6
06/07/18,02:00,47.999,2.78,0.76,59.1
06/07/18,02:30,49.883,2.81,0.77,60.1
06/07/18,03:00,58.071,2.85,0.74,59.1
06/07/18,03:30,47.866,2.82,0.74,59.1
06/07/18,04:00,49.143,2.83,0.48,60.1
06/07/18,04:30,48.207,2.82,0.74,59.6
06/07/18,05:00,47.973,2.81,0.77,60.1
06/07/18,05:30,48.321,2.81,0.76,60.1
06/07/18,06:00,54.368,2.32,0.78,59.6
